week,title,q1,q2,q3
"1,""すきなものあつめ"",""きみのすきなものをおしえてね"",""どこがすきかおしえてね"",""あなたはてんこうせいです。じこしょうかいをしてみよう""",,,,
"2,""今日あったこと日記"",""いつどこで・だれと・なにをした？"",""どう思った？"",""きょ年、一番楽しかったことをおしえて""",,,,
"3,""ババぬきをする"",""さいしょ、なにをした？"",""カードをくばって、なにをした？"",""ババぬきのルールを小さい子がわかるようにおしえて""",,,,
"4,""家事をくらべてえらぶ"",""「そうじ」はどんなところがいい？"",""「りょうり」はどんなところがいい？"",""あなたはどっちがすき？その理由は？""",,,,
"5,""もし～～だったら"",""しょうらいのゆめは？"",""みんなのために何をする"",""みんなはどうおもう？""",,,,
"6,""みのまわり観察"",""何をせつめいしようか？（けしごむ、テレビとか）"",""大きさ、におい、形などとくちょうをおしえて。"",""いつ・どこで・だれが・どうやってつかうもの？""",,,,
"7,""気もちのことば"",""うれしかったことは？（いつ・どこ・だれ・なに）"",""どうしてうれしかったのかな？"",""おとなの人にせつめいしてみよう。（うれしかったこととそのりゆう）""",,,,
"8,""友だちとの出来事"",""どんな出来事があった？"",""そのときどう感じた？"",""こんどはどうしたい？""",,,,
"9,""がんばったこと"",""がんばりベスト1は？"",""ベスト2は？"",""ベスト１とベスト２のその理由は？""",,,,
"10,""未来のじぶんへ手紙"",""来年のじぶんは何年生？"",""どんな人になっていたい？"",""今からできることは？""",,,,
